country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Germany,,,0.0158,0.0208,0.0259,0.025,0.0283,0.0337,0.0338,0.0308,0.0274,0.0272,0.0299,0.0372,0.0401,0.0439,0.0408,0.0336,0.0279,0.0279,0.026,0.0212,0.0189,0.0187,0.018,0.0169,0.0145,0.0139
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.0144,,
Greece,,,0.0144,0.0177,0.0194,0.0193,0.0194,0.0204,0.0245,0.0266,0.0251,0.0218,0.0224,0.0219,0.0224,0.02,0.0201,0.0161,0.0153,0.0191,0.0297,0.0479,0.0772,0.0966,0.0957,0.0879,0.0788,0.0708
Guatemala,,,,,,,,,,,,,,,0.00113,,,,,,0.00302,0.00236,0.00219,0.0024,0.00255,0.00222,0.00296,
Honduras,,,,,,,,,,,,,,,,0.00251,0.00242,0.00148,0.00214,0.00163,0.00254,0.00534,0.00319,0.00102,0.0032,0.00392,0.0046,0.00181
Hungary,,,0.0253,0.0373,0.036,0.0383,0.0377,0.0313,0.0311,0.0246,0.0239,0.0202,0.0197,0.019,0.0188,0.0225,0.0232,0.0234,0.025,0.0317,0.04,0.0362,0.0379,0.0348,0.0264,0.0232,0.018,0.0129
Iceland,,0.00058,0.00249,0.00621,0.00818,0.00869,0.00683,0.00536,0.0041,,,,0.00364,0.0047,0.00799,0.00277,0.00322,0.00219,0.0016,0.0115,0.0199,0.0169,0.0133,0.0104,0.00851,0.00494,0.00319,0.00354
Indonesia,,,,,,,,,,,0.0158,0.0135,0.0146,0.014,0.0152,0.0215,0.0194,0.0204,0.0254,0.0205,0.0186,0.0161,0.0137,0.0136,0.0129,0.0156,0.00949,0.00864
Iran,,,,,,,,,,,,,,,,,,,,0.0305,0.0334,,,,0.0249,0.0259,0.0299,0.033
Ireland,,,0.0571,0.0585,0.0577,0.0467,0.0457,0.0396,0.031,0.0217,0.0158,0.0119,0.0142,0.016,0.0164,0.0148,0.0147,0.0156,0.0219,0.0479,0.0671,0.0726,0.0728,0.0603,0.0504,0.0421,0.034,0.0241
Israel,,,,,,0.00584,0.00543,0.00668,0.00915,0.0107,0.0115,0.0102,0.0149,0.017,0.0185,0.0155,0.0153,0.0118,0.00875,0.0121,0.0116,0.00837,0.00872,0.00757,0.00638,0.00588,0.00524,0.00408
Italy,,,0.0224,0.0271,0.0322,0.0338,0.0348,0.0362,0.0369,0.0346,0.0329,0.0289,0.0267,0.0259,0.0197,0.0189,0.0166,0.0143,0.016,0.0201,0.0238,0.0248,0.0333,0.0411,0.0434,0.0411,0.0389,0.0378
Japan,0.00652,0.00585,0.00535,0.00565,0.00725,0.00836,0.00963,0.0104,0.011,0.0147,0.0168,0.0161,0.018,0.0193,0.0173,0.0157,0.0148,0.0132,0.0137,0.0167,0.0199,0.0172,0.0167,0.0159,0.0137,0.0126,0.012,0.0103
Kazakhstan,,,,,,,,,,,,,,,,,,,,0.011,0.0091,0.00681,0.00829,0.00803,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,0.0118,0.0116,0.0105,0.0111,0.0187,0.0186,0.0159,0.017,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0119
Latvia,,,,,,,,,0.061,0.0549,0.06,0.0597,0.0463,0.0427,0.0374,0.035,0.022,0.0164,0.0196,0.0635,0.0863,0.0751,0.0592,0.0463,0.0404,0.0395,0.0385,0.0303
Liberia,,,,,,,,,,,,,,,,,,,,,0.00459,,,,,,,
