country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Germany,,,0.0179,0.0236,0.0277,0.0261,0.0264,0.0301,0.0308,0.0261,0.0232,0.0222,0.0227,0.0274,0.0296,0.0332,0.0327,0.0277,0.0229,0.0209,0.0183,0.0158,0.0139,0.0136,0.0124,0.0113,0.00953,0.00869
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.0153,,
Greece,,,0.0273,0.0286,0.0306,0.0314,0.037,0.0362,0.0413,0.0461,0.0434,0.0387,0.0386,0.0378,0.0442,0.0407,0.0366,0.0321,0.0273,0.0302,0.04,0.0554,0.0795,0.0933,0.094,0.0914,0.0891,0.0826
Guatemala,,,,,,,,,,,,,,,0.000607,,,,,,0.00214,,0.0022,0.00194,0.00202,0.00225,0.00346,
Honduras,,,,,,,,,,,,,,,,0.00387,0.00241,0.00179,0.00157,0.00185,0.00407,0.00703,0.00285,0.00115,0.00378,0.00418,0.00372,0.00211
Hungary,,,0.015,0.0212,0.0191,0.0196,0.021,0.0173,0.0183,0.0148,0.0134,0.0112,0.0116,0.0127,0.0136,0.018,0.0197,0.0193,0.0197,0.0235,0.0287,0.028,0.0277,0.0267,0.0207,0.0183,0.0133,0.0109
Iceland,,0.00274,0.00345,0.00944,0.00887,0.00804,0.00392,0.00463,,,0.00455,,0.00498,,0.00746,0.0038,0.00368,0.00241,0.00251,0.00725,0.0131,0.0129,0.012,0.00897,0.00778,0.00667,0.00263,0.00275
Indonesia,,,,,,,,,,,0.0111,0.01,0.0107,0.0107,0.0122,0.017,0.0149,0.0165,0.0199,0.0146,0.0141,0.0109,0.00849,0.00829,0.0078,0.00952,0.00503,0.00452
Iran,,,,,,,,,,,,,,,,,,,,0.0146,0.0178,,,,0.0155,0.0163,0.0198,0.021
Ireland,,,0.0289,0.0305,0.0314,0.0251,0.0248,0.0209,0.0144,0.00941,0.0065,0.00503,0.00543,0.00729,0.00623,0.00625,0.00711,0.00876,0.00898,0.0184,0.0297,0.0346,0.0357,0.0354,0.0306,0.0244,0.02,0.0161
Israel,,,,,,0.00608,0.00495,0.00565,0.0068,0.00832,0.00835,0.00905,0.0111,0.0151,0.0166,0.0138,0.0127,0.0102,0.00808,0.00904,0.00773,0.00613,0.0075,0.00603,0.00488,0.00464,0.00418,0.00327
Italy,,,0.0253,0.03,0.0323,0.0343,0.0356,0.0363,0.0381,0.038,0.0354,0.0316,0.0306,0.0283,0.0217,0.0206,0.0182,0.0157,0.0171,0.019,0.0204,0.021,0.0281,0.0319,0.0361,0.0317,0.032,0.0312
Japan,0.00238,0.00237,0.00267,0.00251,0.00391,0.00358,0.0042,0.00434,0.00449,0.00695,0.00709,0.00692,0.00829,0.00858,0.00719,0.00657,0.00565,0.00579,0.00564,0.00761,0.00807,0.0067,0.00701,0.00656,0.00549,0.00474,0.00428,0.00414
Kazakhstan,,,,,,,,,,,,,,,,,,,,0.0141,0.0111,0.00905,0.0112,0.00954,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,0.0144,0.0122,0.0136,0.0126,0.018,0.0182,0.0176,0.0191,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00852
Latvia,,,,,,,,,0.0423,0.0417,0.0407,0.038,0.032,0.0338,0.03,0.027,0.0142,0.0108,0.0149,0.034,0.0518,0.0416,0.0438,0.0318,0.0273,0.0241,0.0225,0.0187
Liberia,,,,,,,,,,,,,,,,,,,,,0.00423,,,,,,,
Lithuania,,,,,,,,,0.0393,0.0332,0.0398,0.0459,0.0403,0.0385,0.0371,0.0262,0.0146,0.00875,0.00981,0.0224,0.0428,0.0422,0.0359,0.0294,0.0278,0.0233,0.0184,0.0149
Luxembourg,,,0.00343,0.00563,0.00643,0.00599,0.00566,0.00642,0.00688,0.00513,0.00358,0.00263,0.00664,0.00561,0.0116,0.0107,0.0113,0.00803,0.0119,0.0126,0.00928,0.012,0.0119,0.0128,0.0113,0.0162,0.0154,0.0117
Malawi,,,,,,,,,,,,,,,,,,,,,,,,0.0142,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,0.00181,0.00158,0.00142,0.00148,0.00156,0.0017,0.00172,0.00204,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00583,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.0175,
Malta,,,,,,,,,,,0.00886,0.00743,0.0076,0.00757,0.0126,0.0114,0.0101,0.00928,0.00947,0.012,0.0122,0.011,0.013,0.011,0.00984,0.00833,0.00958,0.00914
Mauritius,,,,,,,,,,,,0.0222,0.0213,0.0172,0.0262,0.0341,0.0319,0.028,0.0228,0.0223,0.0223,0.022,0.0196,0.0205,0.0199,0.0182,0.0168,0.0181
Mexico,,,,,,0.00159,0.0014,0.000583,0.000223,0.000614,0.000402,0.000258,0.000381,0.000347,0.000457,0.000677,0.00053,0.000589,0.000567,0.001,0.00112,0.00095,0.000959,0.00107,0.000857,0.000784,0.000666,0.000723
Moldova,,,,,,,,,,,,,,,,,,,,0.00734,0.00635,0.00607,0.00469,0.0038,0.00356,0.00333,0.00293,0.00328
Mongolia,,,,,,,,,,,,,,,,,,,0.0139,0.0175,0.0188,0.0139,0.00978,0.0133,0.0124,0.0119,0.0185,0.018
Montenegro,,,,,,,,,,,,,,,,,,,,,,0.0614,0.0622,0.0585,0.0582,0.0569,0.0548,0.0537
Morocco,,,,,,,,,,,,,,,,,,,,,,0.0156,0.0149,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,0.00155,,0.00343
Namibia,,,,,,,,,,,,,,,,,,,,,,,0.0498,0.065,0.0605,,,
Nepal,,,,,,,,,,,,,,,,,,,0.00386,,,,,,,,,
Netherlands,,,0.0218,0.0209,0.0226,0.0254,0.0243,0.0223,0.0182,0.0153,,,0.00588,0.00818,0.0118,0.0133,0.0118,0.00924,0.00682,0.00743,0.0101,0.0124,0.0149,0.0188,0.0214,0.0201,0.0176,0.0141
New Zealand,0.00713,0.0146,0.0175,0.0152,0.0127,0.00891,0.00801,0.00861,0.0103,0.00916,0.00758,0.00598,0.00559,0.00512,0.0038,0.00322,0.00314,0.0025,0.00234,0.00618,0.00841,0.00801,0.0104,0.00936,0.00892,0.00921,0.00832,0.00874
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,0.00537,,,,,
North Macedonia,,,,,,,,,,,,,,,,,0.113,0.113,0.105,0.0994,0.101,0.0961,0.0946,0.0954,0.0936,0.0803,0.0689,0.067
Norway,0.00838,0.00797,0.00829,0.00916,0.00797,0.0126,0.00688,0.00551,0.00382,0.00217,0.0014,0.00202,0.00383,0.00385,0.00542,0.00571,0.00532,0.00342,0.00261,0.00346,0.00439,0.00505,0.00406,0.00536,0.00569,0.00655,0.00775,0.0069
Pakistan,,,,,,,,,,,,,,,,,0.000175,0.000123,0.000232,,0.000351,0.000271,,0.0025,0.00245,0.00833,0.00847,
Palestine,,,,,,0.00633,,,,,0.0052,0.00462,0.00658,0.00859,0.00984,0.0115,0.0109,0.0112,0.0142,0.0159,0.0153,0.0179,0.0227,0.0252,0.0305,0.0262,0.0279,0.041
Panama,,,,,,,,,,,,,,,,,,,,0.0117,0.00484,0.00233,0.00246,0.00176,0.00235,0.00391,0.00384,0.00324
Paraguay,,,,,,,,,,,,,0.012,0.00902,0.00942,0.00757,0.00785,0.014,0.0116,0.0117,0.0103,0.0126,0.00833,0.0102,0.0128,0.00892,0.00936,0.00569
Peru,,,,,,,,,,,,,0.000935,,0.000419,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,0.000824,,0.000726,0.00064,0.000419,0.000442,0.0003,0.00036,0.00033,0.00024,0.000225,0.000231,0.000205,0.000158,,0.000125,0.00014
Poland,,,0.0398,0.0415,0.0437,0.0391,0.0366,0.0376,0.0343,0.0364,0.0546,0.0635,0.0657,0.0617,0.0598,0.059,0.0433,0.028,0.0173,0.0184,0.0211,0.0242,0.0268,0.0282,0.0238,0.0176,0.0128,0.00901
Portugal,,,0.00775,0.013,0.0182,0.0204,0.0223,0.0203,0.0163,0.0142,0.0127,0.0137,0.0137,0.0199,0.0216,0.0274,0.0282,0.0292,0.0263,0.0312,0.0397,0.0395,0.0486,0.055,0.0485,0.0413,0.0346,0.0285
Qatar,,,,,,,,,,,,,,,,,,,,0.00606,,0.00827,0.00549,0.0029,0.00222,0.00197,0.00174,0.00179
Romania,,,,,,,,0.0213,0.0184,0.0185,0.0218,0.0201,0.026,0.0211,0.0194,0.0168,0.0177,0.0148,0.0106,0.0123,0.0125,0.0144,0.0144,0.0152,0.0144,0.0141,0.0122,0.00867
Russia,,,0.00661,0.0102,0.0151,0.0205,0.023,0.0298,0.0338,0.0398,0.0322,0.0235,0.0204,0.0217,0.0212,0.0201,0.0202,0.0167,0.016,0.0175,0.0174,0.017,0.0131,0.0136,0.0125,0.0136,0.0148,0.0138
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0131
Samoa,,,,,,,,,,,,,,,,,,,,,,,0.00406,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,0.00909,,0.0204,0.0209,0.0142,,,0.0229,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,0.00511,,
Serbia,,,,,,,,,,,,,,,,,,,0.0411,0.0418,0.0468,0.0548,0.0601,0.0587,0.0519,0.0453,0.0401,0.034
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,0.00658,,,
Slovak Republic,,,,,0.0353,0.0392,0.0347,0.0361,0.0372,0.049,0.0592,0.0645,0.0685,0.0626,0.0707,0.0635,0.0546,0.0459,0.0391,0.0411,0.0526,0.0478,0.0514,0.0518,0.0484,0.0441,0.035,0.0285
Slovenia,,,,,,,0.0193,0.0201,0.0239,0.0215,0.0241,0.0206,0.0188,0.0215,0.0205,0.0209,0.0224,0.0166,0.013,0.0132,0.0191,0.0227,0.0279,0.0334,0.0341,0.0309,0.0267,0.0202
South Africa,,,,,,,,,,,0.0404,0.0285,0.0295,0.0267,0.0236,0.0237,0.0234,0.0228,0.0673,0.0662,0.0705,0.0735,0.0725,0.0715,0.0735,0.0763,0.0818,0.0851
South Korea,0.00055,0.000744,0.000996,0.00113,0.00115,0.000955,0.000688,0.00101,0.00216,0.00251,0.00126,0.00112,0.00104,0.000761,0.00111,0.00129,0.00119,0.000818,0.000864,0.000771,,0.000604,0.00085,0.00085,0.000962,0.00147,0.00201,0.00204
Spain,,,0.0502,0.0623,0.0739,0.0722,0.0704,0.0669,0.0622,0.0527,0.0461,0.0308,0.0334,0.0346,0.0331,0.0204,0.0179,0.0168,0.0209,0.038,0.0512,0.0588,0.072,0.0813,0.0781,0.0716,0.0623,0.0518
